Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Text
hBP02-034,"百鬼あやめ
(Nakiri Ayame)",,1st Buzz holomem,RR,Red,250,#JP #Gen 2 #Shooter,"Arts: I'm grass
Cost: 1 red, 1 any color
Power: 50

Arts: Organic Shot
Cost: 1 red, 2 any color
Power: 80
If a tool or a mascot is attached to this holomem, deal 30 Special Damage to your opponent's center holomem or collab holomem.

Extra: If this holomem is downed, you get Life-2"
hBP02-035,"沙花叉クロヱ
(Sakamata Chloe)",,Debut holomem,C,Blue,110,#JP #holoX #Sea,"Arts: Bakku bakku baku~n
Cost: 1 any color
Power: 30

Extra: You may include any number of this holomem in the deck"
hBP02-036,"沙花叉クロヱ
(Sakamata Chloe)",,Debut holomem,U,Blue,60,#JP #holoX #Sea,"Collab Effect: Cleaner (Intern)
Look at the top 3 cards of your deck. Reveal 1 2nd holomem with #holoX from among them, and add it to hand. Then, return the remaining cards to the bottom of the deck in any order.

Arts: A reality that seems to be spat out and thrown away!
Cost: 1 any color
Power: 20"
hBP02-037,"沙花叉クロヱ
(Sakamata Chloe)",,1st holomem,C,Blue,160,#JP #holoX #Sea,"Arts: Only Two of Us at the Beach
Cost: 1 blue, 1 any color
Power: 60"
hBP02-038,"沙花叉クロヱ
(Sakamata Chloe)",,1st holomem,U,Blue,110,#JP #holoX #Sea,"Bloom Effect: I'll bakku bakku baku~n your heart♡
Look at the top 3 cards of your cheer deck. Reveal 1 cheer from among them, and send it to your holomem. Then, return the remaining cards to the bottom of the cheer deck in any order.

Arts: (This is where you enjoy it)
Cost: 1 any color
Power: 30"
hBP02-039,"沙花叉クロヱ
(Sakamata Chloe)",,1st holomem,R,Blue,130,#JP #holoX #Sea,"Gift: puipuipui~
[1/Turn]When you reveal cards with this holomem's Arts ""holoX Slots"", you may add 1 Support Card from among them to hand instead of archiving it.

Arts: holoX Slots
Cost: 1 blue, 1 any color
Power: 20+
You may reveal the top 3 cards of your deck:This Arts gets +20 for each holomem revealed. Then, archive the revealed cards."
hBP02-040,"沙花叉クロヱ
(Sakamata Chloe)",,2nd holomem,RR,Blue,190,#JP #holoX #Sea,"Gift: Hot streak
[1/Turn]When you reveal cards with this holomem's Arts ""holoX Slots"", if the three revealed cards are all holomem with the same Bloom level, your opponent gets Life-1.

Arts: holoX Slots
Cost: 2 blue, 1 any color
Power: 100+, +50 vs white
You may reveal the top 3 cards of your deck:This Arts gets +20 for each holomem revealed. Then, archive the revealed cards."
hBP02-041,"猫又おかゆ
(Nekomata Okayu)",,1st Buzz holomem,RR,Blue,230,"#JP #Gamers
#Kemomimi #Singing","Gift: Poisonous Love
[Center position only]All of your <Nekomata Okayu> deal +20 Damage when dealing Special Damage to your opponent's center holomem.

Arts: Poison Neko
Cost: 1 blue, 2 any color
Power: 50
You may archive 1 blue cheer from this holomem:Deal 20 Special Damage to your opponent's center holomem and 1 of their back holomem.

Extra: If this holomem is downed, you get Life-2"
hBP02-042,"紫咲シオン
(Murasaki Shion)",,Debut holomem,C,Purple,130,#JP #Gen 2,"Arts: Domo
Cost: 1 any color
Power: 20

Extra: You may include any number of this holomem in the deck"
hBP02-043,"紫咲シオン
(Murasaki Shion)",,Debut holomem,U,Purple,50,#JP #Gen 2,"Collab Effect: I'll show you magic
You may roll a dice once:If it is 4 or greater, reveal 1 card with #Magic from your deck, and add it to hand. Then, shuffle the deck.

Arts: Let's go together
Cost: 1 purple
Power: 30"
hBP02-044,"紫咲シオン
(Murasaki Shion)",,1st holomem,C,Purple,170,"#JP #Gen 2
#Kemomimi","Arts: Embarrassing
Cost: 1 any color
Power: 30

Arts: yada mo~
Cost: 1 purple, 1 any color
Power: 60"
hBP02-045,"紫咲シオン
(Murasaki Shion)",,1st holomem,U,Purple,130,#JP #Gen 2,"Bloom Effect: It's been a while since our last live performance!!
Look at the top 3 cards of your deck. Reveal 1 [blue holomem or purple holomem] from among them, and add it to hand. Then, return the remaining cards to the bottom of the deck in any order.

Arts: I'm so happy!!
Cost: 1 any color
Power: 40"
hBP02-046,"紫咲シオン
(Murasaki Shion)",,1st holomem,R,Purple,130,#JP #Gen 2,"Bloom Effect: Replacement Magic
You may archive 1 card from your hand:Return 1 card with #Magic from your archive to hand.

Arts: Change the Cheer
Cost: 2 purple
Power: 30
You may roll a dice once:If it is 5 or greater, reattach 1 cheer from your opponent's stage to their holomem."
hBP02-047,"紫咲シオン
(Murasaki Shion)",,2nd holomem,RR,Purple,200,#JP #Gen 2,"Bloom Effect: Mischievous Magic
You may roll a dice once:If it is 4 or greater, reattach 1 cheer from your opponent's stage to their holomem.

Arts: Violet Magic
Cost: 2 purple, 1 any color
Power: 80, +50 vs green
For each cheer attached to your opponent's center holomem, deal 20 Special Damage to your opponent's center holomem and collab holomem."
hBP02-048,"クレイジー・オリー
(Kureiji Ollie)",,Debut holomem,C,Purple,120,"#ID #ID Gen 2
#Languages","Arts: Zombanwa!
Cost: 1 any color
Power: 20

Extra: You may include any number of this holomem in the deck"
hBP02-049,"クレイジー・オリー
(Kureiji Ollie)",,Debut holomem,U,Purple,60,"#ID #ID Gen 2
#Languages","Collab Effect: Ollie is always watching you
Draw 1 card from your deck, then archive 1 card from your hand.

Arts: Otsu-kureiji!
Cost: 1 any color
Power: 20"
hBP02-050,"クレイジー・オリー
(Kureiji Ollie)",,1st holomem,C,Purple,160,"#ID #ID Gen 2
#Languages","Arts: Kouhai who loves you
Cost: 1 any color
Power: 20

Arts: Whoops! Sorry Senpai!
Cost: 1 purple, 1 any color
Power: 60"
hBP02-051,"クレイジー・オリー
(Kureiji Ollie)",,1st holomem,U,Purple,130,"#ID #ID Gen 2
#Languages","Bloom Effect: Max simping!!
Bloom a holomem from your archive on 1 of your Debut holomem with #ID Gen 2. You may only use the Bloom Effect ""Max simping!!"" once per turn.

Arts: I'm going to see my oshi and scream at the top of my lungs!!
Cost: 1 any color
Power: 20"
hBP02-052,"クレイジー・オリー
(Kureiji Ollie)",,1st holomem,R,Purple,120,"#ID #ID Gen 2
#Languages","Bloom Effect: Path of Sincerity
Draw 1 card from your deck.

Arts: In the name of justice, I...
Cost: 2 any color
Power: 40+
If any non-purple cheer is attached to this holomem, this Arts gets +20."
hBP02-053,"クレイジー・オリー
(Kureiji Ollie)",,2nd holomem,RR,Purple,190,"#ID #ID Gen 2
#Languages","Bloom Effect: Resurrected Zombie
You may archive 2 cards from your hand:During this turn, this holomem gets Arts +40.

Arts: Calculated Tactics
Cost: 1 purple, 2 any color
Power: 100+, +50 vs yellow
If there are at least 2 2nd holomem with #ID Gen 2 on your stage, this Arts gets +40."
hBP02-054,"森カリオペ
(Mori Calliope)",,Debut holomem,C,Purple,90,#EN #Myth #Singing,"Arts: The Grim Reaper's first apprentice
Cost: 1 any color
Power: 30+
If there are any holomem in your archive, this Arts gets +10.

Extra: You may include any number of this holomem in the deck"
hBP02-055,"森カリオペ
(Mori Calliope)",,Debut holomem,U,Purple,80,#EN #Myth #Singing,"Collab Effect: Showtime
You may archive 1 holomem from your hand:During this turn, 1 of your holomem with #Myth gets Arts +20.

Arts: My Stage
Cost: 2 purple
Power: 20"
hBP02-056,"森カリオペ
(Mori Calliope)",,1st holomem,C,Purple,110,#EN #Myth #Singing,"Arts: Cash-Money
Cost: 1 Purple
Power: 50"
hBP02-057,"森カリオペ
(Mori Calliope)",,1st holomem,U,Purple,130,#EN #Myth #Singing,"Bloom Effect: The best fes created by everyone
You may archive 2 holomem from your hand that share a tag:Draw 2 cards from your deck.

Arts: Let's have fun together!
Cost: 1 purple, 1 any color
Power: 50"
hBP02-058,"森カリオペ
(Mori Calliope)",,1st holomem,R,Purple,140,#EN #Myth #Singing,"Bloom Effect: What's up?
You may return 1 [<Mori Calliope's Scythe> or <Death-sensei>] from your archive to hand.

Arts: Dead Beat
Cost: 1 purple, 1 any color
Power: 30+
If a tool or a mascot is attached to this holomem, this Arts gets +30."
hBP02-059,"森カリオペ
(Mori Calliope)",,2nd holomem,RR,Purple,200,#EN #Myth #Singing,"Bloom Effect: Soul Voice
Reveal 1 card from your deck and archive it. Then, shuffle the deck.

Arts: Featuring Myth
Cost: 2 purple, 1 any color
Power: 80+, +50 vs blue
If there are 4 or more holomem with #Myth in your archive, this Arts gets +40. Then, if there are 8 or more, this Arts gets +40."
hBP02-060,"癒月ちょこ
(Yuzuki Choco)",,1st Buzz holomem,R,Purple,240,#JP #Gen 2 #Cooking,"Bloom Effect: Seductive Gaze
You may restore 50 HP to 1 of your back holomem:Deal 10 Special Damage to your opponent's center holomem for each 10 HP restored by this effect.

Arts: Charm that cannot be hidden
Cost: 1 purple, 2 any color
Power: 80

Extra: If this holomem is downed, you get Life-2"
hBP02-061,"一伊那尓栖
(Ninomae Ina'nis)",,Debut holomem,C,Purple,140,"#EN #Myth #Painting
#Sea","Arts: WAH!
Cost: 1 any color
Power: 10

Extra: You may include any number of this holomem in the deck"
hBP02-062,"一伊那尓栖
(Ninomae Ina'nis)",,1st holomem,C,Purple,180,"#EN #Myth #Painting
#Sea","Arts: Takogram with you
Cost: 2 purple
Power: 60"
hBP02-063,"一伊那尓栖
(Ninomae Ina'nis)",,1st holomem,U,Purple,140,"#EN #Myth #Painting
#Sea","Bloom Effect: Are you all ready to WAH?
Restore 20 HP to 1 of your holomem with #Myth.

Arts: Let's have fun!!!
Cost: 1 any color
Power: 30"
hBP02-064,"一伊那尓栖
(Ninomae Ina'nis)",,1st Buzz holomem,RR,Purple,250,"#EN #Myth #Painting
#Sea","Arts: Archaic Smile
Cost: 1 purple, 1 any color
Power: 60+
If there are 5 or more holomem with #Myth in your archive, you may reattach 1 cheer from this holomem to your other holomem. Then, if there are 10 or more, this Arts gets +50.

Extra: If this holomem is downed, you get Life-2"
hBP02-065,"ネリッサ・レイヴンクロフト
(Nerissa Ravencroft)",,Debut holomem,C,Purple,90,"#EN #Advent #Singing
#Bird","Arts: Hiya darlings!
Cost: 1 any color
Power: 30+
If a red cheer is attached to this holomem, this Arts gets +10.

Extra: You may include any number of this holomem in the deck"
hBP02-066,"ネリッサ・レイヴンクロフト
(Nerissa Ravencroft)",,1st holomem,C,Purple,150,"#EN #Advent #Singing
#Bird","Arts: That sounds good
Cost: 1 any color
Power: 30

Arts: What is an idol song
Cost: 1 purple, 1 any color
Power: 60"
hBP02-067,"ネリッサ・レイヴンクロフト
(Nerissa Ravencroft)",,1st holomem,U,Purple,120,"#EN #Advent #Singing
#Bird","Bloom Effect: Tea party with Nerissa
Look at the top 3 cards of your deck. Reveal 1 holomem with #Singing from among them, and add it to hand. Then, return the remaining cards to the bottom of the deck in any order.

Arts: Tea is better than coffee
Cost: 1 any color
Power: 20"
hBP02-068,"ネリッサ・レイヴンクロフト
(Nerissa Ravencroft)",,2nd holomem,R,Purple,210,"#EN #Advent #Singing
#Bird","Collab Effect: Demon of Sound
During this turn, your [center holomem and collab holomem] with #Singing get Arts +30.

Arts: Love in song
Cost: 1 purple, 2 any color
Power: 80, +50 vs yellow"
hBP02-069,"魔法少女みこ
(Magical Girl Miko)",,Spot holomem,R,None,60,"#HoloWitch #Gen 0
#Magic","Collab Effect: A prayer to make everyone's wishes come true!
You may roll a dice once:If it is odd, reveal 1 [red cheer or blue cheer] from your cheer deck and send it to your back holomem. Then, shuffle the cheer deck.

Arts: The ""Shrine Maiden"" of ""Holo""
Cost: 1 any color
Power: 20

Extra: This holomem cannot Bloom"
hBP02-070,"魔法少女かなた
(Magical Girl Kanata)",,Spot holomem,R,None,60,"#HoloWitch #Gen 4
#Magic","Collab Effect: Reach out your hand, and hold on!
You may roll a dice once:If it is odd, reveal 1 [white cheer or rreen cheer] from your cheer deck and send it to your back holomem. Then, shuffle the cheer deck.

Arts: The ""Angel"" of ""Holo""
Cost: 1 any color
Power: 20

Extra: This holomem cannot Bloom"
hBP02-071,"魔法少女ルーナ
(Magical Girl Luna)",,Spot holomem,R,None,60,"#HoloWitch #Gen 4
#Magic","Collab Effect: Sweet happiness, share it with me!
You may roll a dice once:If it is odd, reveal 1 [purple cheer or yellow cheer] from your cheer deck and send it to your back holomem. Then, shuffle the cheer deck.

Arts: The ""Princess"" of ""Holo""
Cost: 1 any color
Power: 20

Extra: This holomem cannot Bloom"
hBP02-072,"魔法少女シオン
(Magical Girl Shion)",,Spot holomem,R,None,70,"#HoloWitch #Gen 2
#Magic","Collab Effect: Make the sleeping mystery yours!
You may roll a dice once:If it is even, reveal 1 event from your deck, and add it to hand. Then, shuffle the deck.

Arts: The ""Witch"" of ""Holo""
Cost: 1 any color
Power: 20

Extra: This holomem cannot Bloom"
hBP02-073,"魔法少女マリン
(Magical Girl Marine)",,Spot holomem,R,None,70,"#HoloWitch #Gen 3
#Magic","Collab Effect: Lock on to sparkling treasure!
You may roll a dice once:If it is even, reveal 1 fan from your deck, and add it to hand. Then, shuffle the deck.

Arts: The ""Pirate"" of ""Holo""
Cost: 1 any color
Power: 20

Extra: This holomem cannot Bloom"
hBP02-074,"魔法少女クロヱ
(Magical Girl Chloe)",,Spot holomem,R,None,70,"#HoloWitch #holoX
#Magic","Collab Effect: Unrestrained fangs sailing through rough seas!
You may roll a dice once:If it is even, reveal 1 tool from your deck, and add it to hand. Then, shuffle the deck.

Arts: The ""Orca"" of ""Holo""
Cost: 1 any color
Power: 20

Extra: This holomem cannot Bloom"
hBP02-075,"アイドルサインペン
(Idol Felt Pen)",,Support (Item),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of holomem with #Painting from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order."
hBP02-076,"カスタムパソコン
(Custom PC)",,Support (Item),C,,,,"Reveal 1 Debut holomem from your hand, and return it to the bottom of the deck. Then, reveal 1 1st holomem other than Buzz from your deck which has the same name as the Debut holomem, and add it to hand. Then, shuffle the deck."
hBP02-077,"レトロパソコン
(Retro PC)",,Support (Item),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if your Life is 3 or less.

Return 1 holomem from your archive to hand."
hBP02-078,"かなた建設
(Kanata Construction)",,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of <Amane Kanata>, <Sakamata Chloe>, and/or <AZKi> from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order."
hBP02-079,"爆発の魔法
(Explosion Magic)",,Support (Event),U,,,#Magic,"Deal 20 Special Damage to your opponent's center holomem or collab holomem. However, your opponent's Life does not reduce even if downed.
You may only use one event with #Magic per turn."
hBP02-080,"秘密結社holoX
(Secret Society holoX)",,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of holomem with #holoX from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order."
hBP02-081,"ホロライブ インドネシア2期生
(hololive Indonesia Gen 2)",,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of holomem with #ID Gen 2 from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order."
hBP02-082,"ホロライブゲーマーズ
(hololive GAMERS)",,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of holomem with #Gamers from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order."
hBP02-083,"魔法のタンス
(Magic Closet)",,Support (Event),U,,,#Magic,"This card can only be used if you archive 1 of your holo Power.

Send 1 purple cheer from your archive to your <Murasaki Shion>.
You may only use one event with #Magic per turn."
hBP02-084,"みっころね24
(Mikkorone24)",,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

Draw 2 cards from your deck, then roll a dice once:If it is 3, 5, or 6, reveal 1 Debut holomem from your deck and add it to hand, then shuffle the deck. If it is 2 or 4, draw 1 card from your deck."
hBP02-085,HOLOLIVE FANTASY,,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of holomem with #Gen 3 from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order."
hBP02-086,"ホロスパークリング
(Holo Sparkling Wine)",,Support (Tool),C,,,,"■The holomem this tool is attached to gets Arts+20.
■If the holomem this tool is attached to does not have #Alcohol, this holomem takes +10 Damage.

Only 1 tool can be attached to each of your holomem."
hBP02-087,"紫咲シオンの魔法のステッキ
(Murasaki Shion's Magic Stick)",,Support (Tool),C,,,#Magic,"The holomem this tool is attached to gets Arts+10.

◆Additional ability if attached to a 1st or greater <Musasaki Shion>
If the holomem this tool is attached to is your center holomem, your Oshi Skill ""Neeeeeee"" becomes ""[2/Turn]"" instead of ""[1/Turn]"".

Only 1 tool can be attached to each of your holomem."
hBP02-088,"森カリオペの鎌
(Mori Calliope's Scythe)",,Support (Tool),U,,,,"The holomem this tool is attached to gets Arts+10.

◆Additional ability if attached to a 1st or greater <Mori Calliope>
When this tool is attached from hand to a holomem, archive 1 card from the top of your deck.

Only 1 tool can be attached to each of your holomem."
hBP02-089,"おるやんけ
(Oruyanke)",,Support (Mascot),C,,,#ShirakamiCharacter,"The holomem this mascot is attached to gets +20 HP.

◆Additional ability if attached to <Shirakami Fubuki>
When the holomem this mascot is attached to Collabs, draw 1 card from your deck.

Only 1 mascot can be attached to each of your holomem."
hBP02-090,"ネジマキツネ
(Nejimakitsune)",,Support (Mascot),C,,,#ShirakamiCharacter,"The holomem this mascot is attached to gets +20 HP.

◆Additional ability if attached to <Shirakami Fubuki>
If the holomem this mascot is attached to is downed, reattach 1 cheer from that holomem to your other holomem.

Only 1 mascot can be attached to each of your holomem."
hBP02-091,"フブチュン
(Fubuchun)",,Support (Mascot),C,,,#ShirakamiCharacter,"The holomem this mascot is attached to gets +20 HP.

◆Additional ability if attached to <Shirakami Fubuki>
When the holomem this mascot is attached to Collabs, you may return 1 mascot from your archive to hand.

Only 1 mascot can be attached to each of your holomem."
hBP02-092,"フブラ
(Fubuzilla)",,Support (Mascot),U,,,#ShirakamiCharacter,"The holomem this mascot is attached to gets +20 HP.

◆Additional ability if attached to <Shirakami Fubuki>
[1/Turn]During your Main Phase, you may archive 2 cheers on your stage:During this turn, the holomem this mascot is attached to gets Arts +50.

Only 1 mascot can be attached to each of your holomem."
hBP02-093,"ミテイル
(Miteiru)",,Support (Mascot),C,,,#ShirakamiCharacter,"The holomem this mascot is attached to gets +20 HP.

◆Additional ability if attached to <Shirakami Fubuki>
[Back position only]The holomem this mascot is attached to does not take any Damage from your opponent.

Only 1 mascot can be attached to each of your holomem."
hBP02-094,Tatang,,Support (Mascot),C,,,,"The holomem this mascot is attached to gets Arts+10.

◆Additional ability if attached to <Pavolia Reine>
The holomem this mascot is attached to gets +30 HP.

Only 1 mascot can be attached to each of your holomem."
hBP02-095,"ドクロくん
(Dokuro-kun)",,Support (Mascot),C,,,,"The holomem this mascot is attached to gets Arts+10.

◆Additional ability if attached to <Houshou Marine>
[Center position only] When the holomem this mascot is attached to Blooms, draw 1 card from your deck.

Only 1 mascot can be attached to each of your holomem."
hBP02-096,"イヌ
(Inu)",,Support (Mascot),C,,,,"The holomem this mascot is attached to gets Arts+10.

◆Additional ability if attached to <Sakamata Chloe>
If the holomem this mascot is attached to downed your opponent's holomem, send 1 cheer from your archive to your holomem with #holoX.

Only 1 mascot can be attached to each of your holomem."
hBP02-097,UDIN,,Support (Mascot),C,,,,"The holomem this mascot is attached to gets Arts+10.

◆Additional ability if attached to <Kureiji Ollie>
When the holomem this mascot is attached to Blooms, draw 1 card from your deck then archive 1 card from your hand.

Only 1 mascot can be attached to each of your holomem."
hBP02-098,Death-sensei,,Support (Mascot),C,,,,"The holomem this mascot is attached to gets +20 HP.

◆Additional ability if attached to <Mori Calliope>
The cheer requirements of all Arts of the holomem this mascot is attached to become colorless.

Only 1 mascot can be attached to each of your holomem."
hBP02-099,"すこん部
(Sukonbu)",,Support (Fan),C,,,#ShirakamiCharacter,"The holomem this fan is attached to gets +10 HP.

You may only attach this fan to your <Shirakami Fubuki>, and you may attach any number of this fan per holomem."
hBP02-100,"白銀聖騎士団
(Shirogane Dan'in)",,Support (Fan),C,,,,"The holomem this fan is attached to takes -10 damage.

You may only attach this fan to your <Shirogane Noel>, and you may attach any number of this fan per holomem."
hBP02-101,"ミオファ
(Miofa)",,Support (Fan),C,,,,"During your opponent's turn, if the holomem this fan is attached to is downed, draw 1 card from your deck.

You may only attach this fan to your <Ookami Mio>, and you may attach any number of this fan per holomem."
hBP02-102,"塩っ子
(Shiokko)",,Support (Fan),C,,,,"■The holomem this fan is attached to gets Arts+10.
■When the holomem this fan is attached to takes damage, archive this fan.

You may only attach this fan to your <Murasaki Shion>, and you may attach any number of this fan per holomem."
hBP03-001,"姫森ルーナ
(Himemori Luna)",,Oshi holomem,OSR,White,5,,"Oshi Skill holo Power -2: If you had a PC, you'd understand
[1/Turn]Reveal 1 item with ""PC"" in its name from your deck, and add it to hand. Then, shuffle the deck.

SP Oshi Skill holo Power -2: Luknight gathering
[1/Game]Usable if your center holomem is Himemori Luna:Reveal 1~4 <Luknight> from your deck, and attach them to your holomem divided as you choose. Then, shuffle your deck."
hBP03-002,"獅白ぼたん
(Shishiro Botan)",,Oshi holomem,OSR,Green,5,,"Oshi Skill holo Power -2: poi
[1/Turn]Send 1 cheer from your archive to your back <Shishiro Botan>.

SP Oshi Skill holo Power -2: Aiming
[1/Game]Usable if your center holomem's color is green:Deal 100 Special Damage to your opponent's non-Debut center holomem.

[there is also a SEC version available, which is a signed version of the OUR]"
hBP03-003,"さくらみこ
(Sakura Miko)",,Oshi holomem,OSR,Red,5,,"Oshi Skill holo Power -2: Is 35P coming back?!
[1/Turn]You may roll a dice once:If it is 1, 2, 4, or 6, return 1 35P from your archive to hand. If it is 3 or 5, return 2 35Ps from your archive to hand.

SP Oshi Skill holo Power -2: A heart that doesn't give up
[1/Game]Usable if your center holomem's color is red:Choose any number of cards from your hand, and return them to the bottom of the deck in any order. Then, draw cards from your deck until you have 5 cards in hand.

[there is also a SEC version available, which is a signed version of the OUR]"
hBP03-004,FUWAMOCO,,Oshi holomem,OSR,Blue,5,,"Oshi Skill holo Power -3: Moco-chan!
[1/Turn]Send the top card of your cheer deck to your 1st <Mococo Abyssgard>.

SP Oshi Skill holo Power -2: BAU BAU!
[1/Game]Choose 1 of your holomem with #Advent. During this turn, that holomem's Arts may target your opponent's back holomem."
hBP03-005,"常闇トワ
(Tokoyami Towa)",,Oshi holomem,OSR,Purple,5,,"Oshi Skill holo Power -2: Devil's Voice
[1/Turn]During this turn, your [center holomem and collab holomem] with #Singing get Arts +20.

SP Oshi Skill holo Power -2: Devilish Deeds
[1/Game]Usable if your Tokoyami Towa is downed during your opponent's turn:Return 2 cheers each from your opponent's center holomem and collab holomem to the bottom of their cheer deck in any order.

[there is also a SEC version available, which is a signed version of the OUR]"
hBP03-006,"戌神ころね
(Inugami Korone)",,Oshi holomem,OSR,Yellow,6,,"Oshi Skill holo Power -2: Infinite strength
[1/Turn]Unrest one of your resting <Inugami Korone>.

SP Oshi Skill holo Power -3: Wowowowow
[1/Game]Usable if your yellow holomem is downed:Reattach 1 cheer from that holomem to your other holomem, then return one of that holomem's stacked holomem to hand (you may choose the top holomem)."
hBP03-007,"角巻わため
(Tsunomaki Watame)",,Oshi holomem,OSR,Yellow,5,,"Oshi Skill holo Power -2: Membersheep welcome!
[1/Turn]Reveal 1 fan from your deck, and add it to hand. Then, shuffle the deck.

SP Oshi Skill holo Power -2: Watame did nothing wrong
[1/Game]Send the top 2 cards of your cheer deck to 1 of your <Tsunomaki Watame>.

[there is also a SEC version available, which is a signed version of the OUR]"
hBP03-008,"アユンダ・リス
(Ayunda Risu)",,Oshi holomem,OSR,Yellow,5,,"Oshi Skill holo Power -2: hololive ID family
[1/Turn]Usable if your holomem with #ID Gen 1 is downed:Draw 1 card from your deck.

SP Oshi Skill holo Power -2: Ganbari-risu!
[1/Game]During this turn, all of your <Ayunda Risu> get Arts +50."
hBP03-009,"姫森ルーナ
(Himemori Luna)",,Debut holomem,C,White,90,#JP #Gen 4 #Baby,"Arts: Everyone, is that okay~?
Cost: 1 any color
Power: 10
If there are no <Luknight> attached to any holomem on your stage, reveal 1 <Luknight> from your deck, and attach it to your holomem. Then, shuffle the deck.

Extra: You may include any number of this holomem in the deck"
hBP03-010,"姫森ルーナ
(Himemori Luna)",,Debut holomem,U,White,80,#JP #Gen 4 #Baby,"Collab Effect: Princess of the Candy Kingdom
If your center holomem is <Himemori Luna>, draw 1 card from your deck.

Arts: Want some sweets?
Cost: 1 white
Power: 20"
hBP03-011,"姫森ルーナ
(Himemori Luna)",,1st holomem,C,White,150,#JP #Gen 4 #Baby,"Arts: Otsuluna
Cost: 1 White
Power: 40

Arts: Goodnight
Cost: 1 white, 1 any color
Power: 60"
hBP03-012,"姫森ルーナ
(Himemori Luna)",,1st holomem,U,White,120,#JP #Gen 4 #Baby,"Bloom Effect: Let's have the best live together
During this turn, 1 of your holomem with a fan attached gets Arts +20.

Arts: It's a promise!
Cost: 1 white, 1 any color
Power: 40"
hBP03-013,"姫森ルーナ
(Himemori Luna)",,1st holomem,R,White,110,#JP #Gen 4 #Baby,"Gift: Going to space together with Nna-tan
[Collab position only]Your center <Himemori Luna> with a fan attached gets Arts +20.

Arts: Moon Galaxy
Cost: 1 white
Power: 20
You may attach 1 <Luknight> from your archive to your <Himemori Luna>."
hBP03-014,"姫森ルーナ
(Himemori Luna)",,2nd holomem,RR,White,180,#JP #Gen 4 #Baby,"Bloom Effect: Follow Luna~
If your Oshi holomem is <Himemori Luna>, you may attach 1 <Luknight> from your archive to your <Himemori Luna>.

Arts: Otsukaresama nanora
Cost: 2 white, 1 any color
Power: 100+, +50 vs purple
If a <Luknight> is attached to this holomem, this Arts gets +50."
hBP03-015,"轟はじめ
(Todoroki Hajime)",,2nd holomem,RR,White,190,"#DEV_IS #ReGLOSS
#Baby","Gift: Melancholic
[Center position only]Your collab holomem with #ReGLOSS takes -20 damage.

Arts: This is the power of a Banchou!
Cost: 1 white, 2 any color
Power: 110+, +50 vs red
If you have 4 or more back holomem with #ReGLOSS, this Arts gets +40."
hBP03-016,"獅白ぼたん
(Shishiro Botan)",,Debut holomem,C,Green,100,"#JP #Gen 5
#Kemomimi #Shooter","Arts: La-Lion♪
Cost: 1 any color
Power: 30

Extra: You may include any number of this holomem in the deck"
hBP03-017,"獅白ぼたん
(Shishiro Botan)",,Debut holomem,U,Green,80,"#JP #Gen 5
#Kemomimi #Shooter","Collab Effect: Preparation
If your Oshi holomem is <Shishiro Botan>, you may archive the top card of your cheer deck:Restore 10 HP to 1 of your holomem.

Arts: Bo
Cost: 1 green
Power: 20"
hBP03-018,"獅白ぼたん
(Shishiro Botan)",,1st holomem,C,Green,160,"#JP #Gen 5
#Kemomimi #Shooter","Arts: If Botan became an idol...
Cost: 1 green
Power: 40

Arts: I promise your heart will go dokidoki
Cost: 1 green, 1 any color
Power: 60"
hBP03-019,"獅白ぼたん
(Shishiro Botan)",,1st holomem,U,Green,130,"#JP #Gen 5
#Kemomimi #Shooter","Bloom Effect: Singing is fun
You may archive 1 cheer from your back holomem:Deal 30 Special Damage to your opponent's center holomem or collab holomem. You may only use the Bloom Effect ""Singing is fun"" once per turn.

Arts: Slurp
Cost: 1 any color
Power: 30
You may reveal 1 <Tsunomaki Watame> from your hand, and return it to the bottom of your deck:Restore 20 HP to this holomem."
